pitches_out_of_zone,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
2,687473,"Gusto, Ryan",1760,0.1,,,,,,,,,,,,2386,87,87.3,0,0,2,0.29999999999999716,6.4,113,155,124,149,313,327,305,-0.06,0.06,,,,,,,,,,,,,2.645,0.415,0.015,0.015,,,,,,5.63,-2.1,0.59,3.52,,,3,,,-3,,,,,,40.7,,,,,,
2,676440,"Bibee, Tanner",2969,0.1,,,,,0.722,0.722,,0,0,,,2335,90.3,90.3,0,0,2,0,6.35,105,142,98,152,299,315,297,-0.481,0.481,,,1,0,0,0,0,0,0,0,0,0,2.345,0.475,-0.07,0.07,,,,,,6.34,-2.04,0.3,1.69,1,,24.05,1,,-24.05,,0,,0,,56.5,,,,,,
2,663568,"Kolek, Stephen",1689,0.1,,,,,,,,,,,,2471,90.7,91.25,0,0,2,0.5999999999999943,6.3,114,152,123,147,321,337,307,-0.078,0.078,,,,,,,,,,,,,2.345,0.395,-0.175,-0.175,,,,,,5.18,-2.77,1.26,1.63,,,3.9,,,-3.9,,,,,,34.1,,,,,,
2,671096,"Abbott, Andrew",2677,0.1,,,,,,,,,,,,2485,87.3,87.25,0,0,2,0,6.45,105,150,98,149,279,322,286,-0.081,0.081,,,,,,,,,,,,,2.025,1.005,-0.03,-0.71,,,,,,5.95,2.59,-0.34,3.17,,,4.05,,,-4.05,,,,,,48.2,,,,,,
2,622503,"Crismatt, Nabil",534,0.4,,,,,,,,,,,,1827,85,86,0,0,2,1,6.95,112,151,124,148,308,325,293,-0.059,0.059,,,,,,,,,,,,,2.665,0.51,1,1,,,,,,5.58,-2.48,0.85,1.81,,,2.95,,,-2.95,,,,,,37.1,,,,,,
2,519242,"Sale, Chris",2031,0.1,,,,,,,,,,,,2279,94.4,95.2,0,0,2,0.7999999999999972,6.8,122,152,130,152,303,327,304,-0.08,0.08,,,,,,,,,,,,,2.025,0.54,1.305,0.185,,,,,,4.88,3.1,1.13,3.17,,,4,,,-4,,,,,,7.9,,,,,,
2,593423,"Montas, Frankie",708,0.3,0,0,0,0,0,0.713,0.683,0,1,106.9,14,2244,93.6,92.65,0,1,1,-0.8999999999999915,5.95,104,150,109,151,301,330,293,0.248,-0.248,81.9,7.7,1,1,0,0,0,0,0,0,0,0,1.94,0.69,0.575,0.695,106.9,294,100,0,0,6.13,-0.76,-0.29,2.94,0,0,-12.4,0.683,1.019,12.4,-0.683,-0.683,-1.019,-0.713,0,47.3,-4.222525956177429,12.539003428172988,41.18314747207549,0,36.322304620540166,21.88764065591967
2,664285,"Valdez, Framber",2891,0.1,,,,,,,,,,,,2401,85.4,84.4,0,0,2,-0.8999999999999915,6.2,99,142,104,140,300,325,291,-0.066,0.066,,,,,,,,,,,,,3.61,-0.39,0.295,-0.295,,,,,,5.8,0.84,-1.11,0.64,,,3.3,,,-3.3,,,,,,35.1,,,,,,
2,676106,"Hancock, Emerson",1423,0.1,,,,,,,,,,,,2021,92.5,91.9,0,0,2,-0.5999999999999943,6.05,118,150,135,149,308,335,314,-0.078,0.078,,,,,,,,,,,,,2.565,0.12,1.535,0.095,,,,,,5.21,-2.65,0.69,2.27,,,3.9,,,-3.9,,,,,,10.8,,,,,,
2,687765,"Spence, Mitch",1354,0.1,,,,,,,,,,,,2731,88.5,88.35,0,1,1,-0.20000000000000284,6.2,126,148,145,152,296,314,300,0.002,-0.002,74.1,8.7,,,,,,,,,,,2.505,0.435,-0.895,0.895,88.0,3,,,,5.99,-2.87,-0.09,3.04,,,-0.1,,,0.1,,,,,0,39.3,25.484234383284388,-28.166202775799345,33.42400985948819,0,26.38280623916029,42.15522908790905
2,682990,"Priester, Quinn",2468,0.1,,,,,,,,,,,,2493,86.9,86.95,1,1,1,0,6.3,124,151,131,151,299,331,302,0.002,-0.002,,,,,,,,,,,,,3.46,-0.39,0.17,-0.93,,,,,,6.26,-1.54,-0.77,1.9,,,-0.1,,,0.1,,,,,100,48.0,,,,,,
2,700241,"McGreevy, Michael",1465,0.1,,,,,,,,,,,,2174,92.4,93.2,0,0,2,0.9000000000000057,6.85,112,154,129,148,309,333,300,-0.08,0.08,,,,,,,,,,,,,1.87,0.81,1.055,1.055,,,,,,5.77,-2.42,-0.29,2.04,,,4,,,-4,,,,,,30.6,,,,,,
2,657746,"Ryan, Joe",2795,0.1,,,,,,,,,,,,2319,83.8,83.75,0,0,2,0,6.35,129,145,129,153,298,331,297,-0.073,0.073,,,,,,,,,,,,,2.965,0.375,-0.03,0.03,,,,,,4.83,-2.55,-0.84,2.08,,,3.65,,,-3.65,,,,,,21.5,,,,,,
2,477132,"Kershaw, Clayton",1770,0.1,,,,,,,,,,,,2297,90.4,91.05,0,0,2,0.7999999999999972,6.65,117,151,108,151,305,333,318,-0.076,0.076,,,,,,,,,,,,,1.62,1.16,-0.01,-0.06,,,,,,5.86,1.67,-0.34,0.69,,,3.8,,,-3.8,,,,,,52.3,,,,,,
1,607200,"Fedde, Erick",2370,0,,,,,,,,,,,,2309,80.8,80.9,0,0,1,0.10000000000000853,6.4,123,144,136,153,282,329,300,-0.037,0.037,,,,,,,,,,,,,2.91,0.58,-1.42,1.42,,,,,,5.72,-1.91,-1.12,3.35,,,3.7,,,-3.7,,,,,,30.3,,,,,,
1,677952,"Ashcraft, Braxton",1102,0.1,,,,,,,,,,,,2487,97.2,97.6,0,0,1,0.3999999999999915,6.3,121,149,91,152,289,311,305,-0.041,0.041,,,,,,,,,,,,,1.04,1.35,0.62,-0.62,,,,,,6.32,-1.29,1.07,1.82,,,4.1,,,-4.1,,,,,,42.1,,,,,,
